iter	Passed	Remaining
0	7	2148
1	15	2300
2	25	2488
3	31	2314
4	38	2285
5	45	2221
6	51	2171
7	80	2930
8	94	3047
9	107	3106
10	115	3043
11	123	2973
12	131	2900
13	141	2893
14	149	2834
15	174	3097
16	180	3002
17	188	2953
18	195	2896
19	204	2866
20	210	2803
21	217	2745
22	224	2698
23	230	2645
24	237	2616
25	244	2574
26	252	2551
27	257	2505
28	264	2468
29	271	2442
30	276	2403
31	285	2392
32	292	2367
33	300	2351
34	306	2318
35	312	2291
36	319	2274
37	328	2262
38	335	2244
39	341	2217
40	350	2216
41	357	2198
42	365	2186
43	371	2160
44	377	2140
45	384	2125
46	390	2102
47	398	2090
48	403	2067
49	410	2052
50	416	2034
51	422	2013
52	430	2006
53	436	1986
54	442	1972
55	448	1956
56	455	1942
57	463	1932
58	468	1913
59	475	1901
60	481	1886
61	488	1873
62	495	1863
63	501	1847
64	508	1837
65	515	1827
66	524	1824
67	530	1809
68	536	1795
69	543	1787
70	549	1772
71	557	1765
72	563	1750
73	569	1739
74	576	1730
75	583	1721
76	592	1715
77	600	1708
78	607	1699
79	613	1686
80	620	1678
81	626	1665
82	633	1655
83	639	1645
84	647	1637
85	654	1628
86	659	1615
87	666	1605
88	671	1592
89	677	1581
90	684	1571
91	690	1560
92	697	1551
93	702	1539
94	709	1530
95	717	1524
96	722	1512
97	728	1501
98	734	1490
99	741	1482
100	748	1473
101	754	1464
102	760	1455
103	769	1449
104	774	1438
105	783	1433
106	789	1423
107	796	1415
108	803	1408
109	810	1400
110	817	1392
111	826	1387
112	833	1379
113	839	1369
114	849	1366
115	854	1355
116	863	1350
117	868	1340
118	876	1333
119	883	1325
120	889	1316
121	898	1310
122	903	1300
123	912	1294
124	918	1285
125	925	1278
126	932	1269
127	938	1261
128	945	1253
129	951	1243
130	957	1235
131	963	1225
132	969	1216
133	976	1209
134	981	1200
135	988	1192
136	994	1183
137	999	1173
138	1006	1166
139	1012	1156
140	1018	1148
141	1024	1139
142	1029	1130
143	1035	1122
144	1040	1112
145	1046	1103
146	1052	1095
147	1058	1087
148	1064	1078
149	1070	1070
150	1076	1062
151	1081	1053
152	1087	1045
153	1093	1036
154	1101	1030
155	1106	1021
156	1111	1012
157	1117	1004
158	1123	996
159	1128	987
160	1135	980
161	1140	971
162	1146	963
163	1152	955
164	1157	947
165	1164	939
166	1170	931
167	1175	923
168	1181	916
169	1187	908
170	1192	899
171	1199	892
172	1204	884
173	1210	876
174	1216	868
175	1221	860
176	1229	854
177	1234	846
178	1240	838
179	1246	831
180	1251	822
181	1256	814
182	1263	807
183	1268	800
184	1274	792
185	1280	784
186	1287	778
187	1302	776
188	1311	770
189	1317	762
190	1324	755
191	1330	748
192	1336	740
193	1343	733
194	1349	726
195	1354	718
196	1361	711
197	1367	704
198	1373	697
199	1379	689
200	1384	681
201	1391	675
202	1397	667
203	1402	660
204	1408	652
205	1414	645
206	1420	638
207	1426	630
208	1432	623
209	1438	616
210	1444	609
211	1450	602
212	1457	595
213	1462	587
214	1468	580
215	1474	573
216	1479	566
217	1488	559
218	1493	552
219	1502	546
220	1508	539
221	1513	531
222	1520	525
223	1526	517
224	1531	510
225	1538	503
226	1543	496
227	1550	489
228	1555	482
229	1561	475
230	1567	468
231	1573	461
232	1578	453
233	1584	447
234	1590	439
235	1596	432
236	1602	425
237	1607	418
238	1615	412
239	1620	405
240	1625	398
241	1632	391
242	1637	384
243	1643	377
244	1649	370
245	1654	363
246	1661	356
247	1667	349
248	1672	342
249	1678	335
250	1684	328
251	1689	321
252	1696	315
253	1701	308
254	1706	301
255	1713	294
256	1718	287
257	1723	280
258	1729	273
259	1734	266
260	1740	260
261	1746	253
262	1751	246
263	1758	239
264	1763	232
265	1769	226
266	1776	219
267	1781	212
268	1787	206
269	1793	199
270	1798	192
271	1804	185
272	1809	178
273	1814	172
274	1821	165
275	1827	158
276	1832	152
277	1838	145
278	1844	138
279	1849	132
280	1856	125
281	1861	118
282	1870	112
283	1875	105
284	1881	99
285	1887	92
286	1893	85
287	1899	79
288	1905	72
289	1911	65
290	1917	59
291	1922	52
292	1928	46
293	1934	39
294	1939	32
295	1944	26
296	1951	19
297	1956	13
298	1961	6
299	1968	0
