iter	Passed	Remaining
0	4	1484
1	8	1198
2	10	1073
3	13	1010
4	16	973
5	20	986
6	23	968
7	26	955
8	29	937
9	31	923
10	35	932
11	38	924
12	41	911
13	44	900
14	46	890
15	50	904
16	54	899
17	56	892
18	59	884
19	62	880
20	67	890
21	69	883
22	72	874
23	75	866
24	78	860
25	83	876
26	86	874
27	89	866
28	91	859
29	94	853
30	98	857
31	101	853
32	105	850
33	108	847
34	111	843
35	114	842
36	117	836
37	120	830
38	123	825
39	126	820
40	129	818
41	132	813
42	135	807
43	137	801
44	140	798
45	144	795
46	146	790
47	149	785
48	152	781
49	155	777
50	158	772
51	161	770
52	164	765
53	167	761
54	170	757
55	172	753
56	176	753
57	179	750
58	182	745
59	185	741
60	188	738
61	192	737
62	195	734
63	198	731
64	201	729
65	204	726
66	208	725
67	211	721
68	214	718
69	217	714
70	220	712
71	224	710
72	227	707
73	230	703
74	233	700
75	236	696
76	239	694
77	242	690
78	245	687
79	248	684
80	251	681
81	255	679
82	258	675
83	261	672
84	264	668
85	267	665
86	271	663
87	273	659
88	276	656
89	279	652
90	282	649
91	286	647
92	289	644
93	292	640
94	295	637
95	298	633
96	302	632
97	304	628
98	307	625
99	310	621
100	313	617
101	317	615
102	320	612
103	323	610
104	327	607
105	330	605
106	333	602
107	336	598
108	339	594
109	342	591
110	345	588
111	349	586
112	352	582
113	354	579
114	357	575
115	360	571
116	364	569
117	367	566
118	370	563
119	373	560
120	376	556
121	380	554
122	383	551
123	386	548
124	389	545
125	392	541
126	396	540
127	399	537
128	402	534
129	406	531
130	410	529
131	413	526
132	417	523
133	420	520
134	423	517
135	427	515
136	430	512
137	433	508
138	436	505
139	439	502
140	442	499
141	445	496
142	448	492
143	451	489
144	454	485
145	459	484
146	462	481
147	465	478
148	468	475
149	472	472
150	475	469
151	478	465
152	481	462
153	484	459
154	488	456
155	491	453
156	494	450
157	497	446
158	500	443
159	503	440
160	506	437
161	509	434
162	512	430
163	516	427
164	519	425
165	523	422
166	526	419
167	529	416
168	532	412
169	536	410
170	539	406
171	542	403
172	545	400
173	549	398
174	553	395
175	557	392
176	560	389
177	563	386
178	568	383
179	571	381
180	574	378
181	578	375
182	581	371
183	586	369
184	589	366
185	592	363
186	595	360
187	600	357
188	603	354
189	607	351
190	610	348
191	614	345
192	617	342
193	621	339
194	624	336
195	627	333
196	631	330
197	635	327
198	638	324
199	643	321
200	647	318
201	650	315
202	656	313
203	661	311
204	665	308
205	669	305
206	675	303
207	678	300
208	681	296
209	685	293
210	688	290
211	692	287
212	696	284
213	700	281
214	704	278
215	707	275
216	711	272
217	714	268
218	718	265
219	720	262
220	725	259
221	728	256
222	731	252
223	735	249
224	739	246
225	743	243
226	747	240
227	750	237
228	754	233
229	758	230
230	761	227
231	765	224
232	768	221
233	773	218
234	776	214
235	779	211
236	782	208
237	787	205
238	790	201
239	793	198
240	796	195
241	800	191
242	804	188
243	807	185
244	809	181
245	812	178
246	815	175
247	819	171
248	822	168
249	825	165
250	828	161
251	832	158
252	836	155
253	839	152
254	842	148
255	845	145
256	849	142
257	852	138
258	855	135
259	858	132
260	861	128
261	865	125
262	868	122
263	872	118
264	875	115
265	879	112
266	882	109
267	885	105
268	888	102
269	891	99
270	894	95
271	898	92
272	901	89
273	904	85
274	907	82
275	910	79
276	914	75
277	917	72
278	920	69
279	924	66
280	928	62
281	932	59
282	935	56
283	938	52
284	941	49
285	944	46
286	948	42
287	951	39
288	954	36
289	957	33
290	960	29
291	963	26
292	966	23
293	969	19
294	973	16
295	976	13
296	979	9
297	982	6
298	985	3
299	988	0
