iter	Logloss
0	0.6786808727
1	0.6662147419
2	0.6548946692
3	0.6435898376
4	0.6320960888
5	0.6185813342
6	0.6077368585
7	0.599984978
8	0.5914402057
9	0.5824686581
10	0.5741533361
11	0.5690597687
12	0.5608557841
13	0.5530377459
14	0.5472036996
15	0.5392551314
16	0.5315773463
17	0.523304179
18	0.5163692393
19	0.5103798434
20	0.5047159506
21	0.4990389695
22	0.4928153723
23	0.4868317828
24	0.4790596773
25	0.4742969445
26	0.4711349152
27	0.4650024434
28	0.4619207808
29	0.4573475384
30	0.4530348541
31	0.4485790817
32	0.4449575053
33	0.4422241965
34	0.438951723
35	0.4340418559
36	0.4282853063
37	0.4246805935
38	0.4210468579
39	0.4183790912
40	0.4150218168
41	0.4119613081
42	0.406902825
43	0.4032471031
44	0.3997966056
45	0.3959039413
46	0.3920695717
47	0.389943384
48	0.3873996755
49	0.3845447129
50	0.3820230053
51	0.3798204343
52	0.3779433151
53	0.3739326275
54	0.3705048409
55	0.3674390275
56	0.3654267381
57	0.3625938365
58	0.3603818693
59	0.3587064035
60	0.3558328544
61	0.3537136358
62	0.3512120405
63	0.3480250693
64	0.3460312326
65	0.3432274389
66	0.3407753486
67	0.3369547533
68	0.3335326089
69	0.3285431149
70	0.3259410038
71	0.3241355923
72	0.3209235711
73	0.3191827779
74	0.3177435099
75	0.3148031071
76	0.3124814063
77	0.3110829494
78	0.3087070437
79	0.3068028287
80	0.3049087253
81	0.3032782356
82	0.2998339469
83	0.2980295226
84	0.2952116888
85	0.293757485
86	0.2918738869
87	0.2886973984
88	0.2869857121
89	0.2853456783
90	0.2831880916
91	0.2823064366
92	0.2813226589
93	0.2786906887
94	0.2770984108
95	0.274428951
96	0.2715584217
97	0.2696239521
98	0.267754254
99	0.2662877514
100	0.2641086544
101	0.2623183524
102	0.26107849
103	0.2593732586
104	0.2577840701
105	0.2566107965
106	0.2554165192
107	0.2530666463
108	0.2520045376
109	0.2505076109
110	0.2484910649
111	0.2477379082
112	0.2458916135
113	0.2446140928
114	0.2428301386
115	0.2419323578
116	0.2405550965
117	0.2387787184
118	0.2379178333
119	0.2355489335
120	0.2339319962
121	0.2321201112
122	0.2308635716
123	0.2300397949
124	0.2288312274
125	0.2264337853
126	0.2249318853
127	0.2239846867
128	0.2229753094
129	0.2221203922
130	0.221658524
131	0.2208493731
132	0.2190916538
133	0.2175926436
134	0.2164918755
135	0.2150528193
136	0.2141548496
137	0.2123815537
138	0.2113130862
139	0.2098141554
140	0.20875988
141	0.2076744385
142	0.2070466464
143	0.205642772
144	0.2040641941
145	0.2026130081
146	0.2009458349
147	0.2000593999
148	0.1980971551
149	0.1961281043
150	0.1940677296
151	0.1927930754
152	0.1917132506
153	0.1902487272
154	0.1891705924
155	0.1878390584
156	0.1869150015
157	0.1858768378
158	0.1843142125
159	0.1837582471
160	0.1832421526
161	0.1826654964
162	0.1818747407
163	0.1809941903
164	0.1797686886
165	0.1791839187
166	0.1779920764
167	0.177202047
168	0.1760327491
169	0.1754252292
170	0.1747673592
171	0.1744183018
172	0.1732520623
173	0.1725181193
174	0.1710622407
175	0.1693889952
176	0.1682777444
177	0.1668429493
178	0.1650376728
179	0.1640822919
180	0.1630506185
181	0.1614953772
182	0.1603327731
183	0.1585518618
184	0.1573156236
185	0.1558720504
186	0.1546969274
187	0.1532133245
188	0.1521450643
189	0.1512038089
190	0.1501017727
191	0.14905269
192	0.148560689
193	0.1478059729
194	0.1469339979
195	0.14567627
196	0.1450224569
197	0.1444824337
198	0.1435836972
199	0.1428096385
