iter	Passed	Remaining
0	16	3291
1	30	3038
2	46	3021
3	66	3270
4	81	3165
5	94	3052
6	113	3126
7	121	2922
8	131	2796
9	139	2653
10	152	2623
11	168	2647
12	177	2559
13	196	2613
14	207	2555
15	216	2486
16	225	2429
17	232	2352
18	239	2286
19	250	2257
20	256	2184
21	261	2115
22	266	2047
23	271	1990
24	275	1928
25	279	1868
26	283	1814
27	287	1766
28	292	1723
29	297	1683
30	302	1647
31	310	1629
32	314	1593
33	319	1559
34	323	1523
35	326	1488
36	330	1455
37	335	1428
38	338	1398
39	342	1369
40	345	1341
41	354	1335
42	360	1315
43	364	1294
44	368	1270
45	372	1246
46	376	1224
47	380	1203
48	384	1184
49	388	1164
50	391	1144
51	395	1124
52	400	1110
53	403	1091
54	407	1074
55	411	1057
56	415	1043
57	419	1026
58	422	1010
59	426	995
60	431	983
61	438	976
62	452	983
63	461	980
64	467	971
65	471	957
66	475	943
67	481	934
68	485	921
69	490	910
70	496	902
71	499	887
72	502	874
73	506	863
74	512	854
75	516	842
76	520	831
77	524	819
78	529	811
79	533	800
80	537	790
81	543	781
82	547	771
83	552	762
84	555	751
85	564	748
86	568	738
87	572	728
88	577	720
89	581	711
90	586	702
91	591	694
92	596	686
93	602	679
94	608	673
95	613	665
96	618	656
97	623	649
98	628	641
99	633	633
100	637	625
101	642	616
102	646	608
103	650	600
104	654	592
105	658	583
106	661	575
107	665	567
108	669	558
109	672	550
110	676	542
111	680	534
112	683	526
113	687	518
114	691	510
115	694	503
116	698	495
117	702	487
118	705	480
119	709	473
120	713	465
121	716	458
122	720	451
123	724	443
124	727	436
125	731	429
126	737	424
127	741	417
128	745	410
129	749	403
130	753	396
131	756	389
132	760	383
133	763	376
134	767	369
135	771	362
136	774	356
137	778	349
138	782	343
139	785	336
140	789	330
141	793	323
142	798	318
143	803	312
144	806	306
145	812	300
146	815	294
147	819	287
148	823	281
149	827	275
150	830	269
151	834	263
152	838	257
153	841	251
154	845	245
155	849	239
156	852	233
157	856	227
158	860	221
159	863	215
160	867	210
161	871	204
162	878	199
163	882	193
164	885	187
165	889	182
166	892	176
167	897	170
168	903	165
169	907	160
170	910	154
171	914	148
172	918	143
173	922	137
174	926	132
175	929	126
176	933	121
177	937	115
178	940	110
179	944	104
180	948	99
181	951	94
182	955	88
183	959	83
184	963	78
185	968	72
186	973	67
187	978	62
188	984	57
189	987	51
190	991	46
191	996	41
192	1000	36
193	1004	31
194	1008	25
195	1012	20
196	1016	15
197	1020	10
198	1024	5
199	1027	0
