iter	Logloss
0	0.6753929046
1	0.6599188369
2	0.6460994601
3	0.6342134528
4	0.621414682
5	0.6084642383
6	0.5930904778
7	0.5831348155
8	0.5715253314
9	0.5609493549
10	0.5506252773
11	0.5386647267
12	0.5309794961
13	0.522189568
14	0.5134951513
15	0.5047460993
16	0.4988146432
17	0.4910007749
18	0.4832900643
19	0.4751988348
20	0.4687785828
21	0.4618246859
22	0.4549433791
23	0.4495394744
24	0.4409605077
25	0.4351094399
26	0.4303222146
27	0.4254425142
28	0.4209793476
29	0.4160745187
30	0.4116090018
31	0.4073596578
32	0.4012896904
33	0.3982058938
34	0.394466598
35	0.3905007627
36	0.38618056
37	0.3827868512
38	0.3789951239
39	0.3753126208
40	0.3724100478
41	0.3680912312
42	0.3626088484
43	0.3594723397
44	0.3567509149
45	0.352681704
46	0.3495319354
47	0.3472308816
48	0.3436019314
49	0.3400596988
50	0.3373628757
51	0.3349325907
52	0.3318074599
53	0.3279472372
54	0.3247828965
55	0.3218205157
56	0.3176721747
57	0.3136564363
58	0.3093668155
59	0.3070659812
60	0.304138004
61	0.3013708619
62	0.2988223928
63	0.2963118876
64	0.2938524708
65	0.2908259127
66	0.2881067554
67	0.2848573645
68	0.2821197399
69	0.2799920635
70	0.2778030306
71	0.2759115696
72	0.2733466682
73	0.2717104306
74	0.270117292
75	0.2686508988
76	0.2660953263
77	0.2632684453
78	0.2603499954
79	0.2583613456
80	0.2568764025
81	0.2555371177
82	0.2533436522
83	0.2525352971
84	0.2503754405
85	0.2482117901
86	0.2465441737
87	0.2446122302
88	0.2428621004
89	0.2410253547
90	0.2393980794
91	0.2367226401
92	0.2354486173
93	0.2336129689
94	0.2305215152
95	0.2286471998
96	0.2264031013
97	0.2247129809
98	0.2231949604
99	0.2216938232
100	0.2199807482
101	0.2186476875
102	0.2173344792
103	0.2160175674
104	0.2150594209
105	0.2139946355
106	0.2122484123
107	0.2108203698
108	0.2091133975
109	0.2076421708
110	0.206211378
111	0.2047111928
112	0.2033606661
113	0.2018652912
114	0.1993973666
115	0.1985123152
116	0.1969323918
117	0.1953136455
118	0.1940591736
119	0.1924707608
120	0.1910286608
121	0.189024375
122	0.1879000094
123	0.1863506907
124	0.1846244145
125	0.183273912
126	0.1819742574
127	0.1803474262
128	0.178776379
129	0.1773838531
130	0.1762908627
131	0.1751213948
132	0.1737184407
133	0.1722378117
134	0.171207162
135	0.1701149724
136	0.1685034492
137	0.16684928
138	0.1660456488
139	0.164636968
140	0.1634360539
141	0.1622632922
142	0.1615739965
143	0.1607772622
144	0.159995768
145	0.1590267053
146	0.1578433402
147	0.1561623296
148	0.1549380156
149	0.1533595534
150	0.1525625105
151	0.1512491867
152	0.1499811528
153	0.148821868
154	0.1477770032
155	0.1467656933
156	0.1460169562
157	0.1449541934
158	0.1438029067
159	0.1425088605
160	0.1417884811
161	0.1403380963
162	0.139754887
163	0.1393508063
164	0.1383915557
165	0.1378138156
166	0.1367691414
167	0.1359905642
168	0.1350511057
169	0.1341303444
170	0.1334810629
171	0.1329141782
172	0.1320069214
173	0.1312097368
174	0.1301246954
175	0.1294227341
176	0.1286994149
177	0.1275603758
178	0.1270404549
179	0.1262253856
180	0.1253587955
181	0.1241746933
182	0.1229756709
183	0.121958963
184	0.1211633745
185	0.1201191576
186	0.1192271309
187	0.1185055557
188	0.1175121837
189	0.1165604407
190	0.1157598735
191	0.1150265177
192	0.1141998208
193	0.1132994364
194	0.1124675657
195	0.1116801875
196	0.111095215
197	0.1106456513
198	0.1101380467
199	0.1094068192
