iter	Passed	Remaining
0	8	1719
1	16	1614
2	26	1739
3	33	1652
4	41	1604
5	48	1582
6	56	1570
7	64	1552
8	73	1564
9	81	1543
10	88	1525
11	96	1513
12	104	1508
13	115	1532
14	124	1532
15	133	1539
16	142	1533
17	150	1524
18	158	1509
19	167	1504
20	174	1488
21	182	1474
22	189	1459
23	196	1444
24	204	1432
25	212	1422
26	219	1409
27	227	1395
28	234	1381
29	242	1375
30	250	1363
31	257	1351
32	265	1343
33	273	1334
34	281	1328
35	288	1316
36	295	1303
37	302	1290
38	309	1278
39	317	1270
40	324	1258
41	331	1247
42	338	1237
43	346	1228
44	353	1218
45	362	1213
46	369	1203
47	377	1195
48	384	1183
49	393	1179
50	401	1173
51	410	1168
52	419	1163
53	426	1153
54	435	1148
55	442	1138
56	450	1129
57	457	1119
58	465	1111
59	473	1104
60	481	1098
61	490	1091
62	498	1084
63	506	1076
64	515	1069
65	524	1064
66	533	1059
67	543	1055
68	551	1047
69	562	1044
70	570	1037
71	578	1028
72	587	1021
73	595	1014
74	605	1008
75	614	1001
76	622	994
77	631	987
78	639	979
79	647	971
80	655	963
81	664	955
82	672	947
83	681	941
84	691	935
85	700	928
86	709	921
87	717	913
88	726	906
89	735	898
90	744	891
91	753	885
92	762	876
93	770	868
94	777	859
95	785	851
96	792	842
97	800	832
98	807	824
99	817	817
100	825	809
101	833	800
102	840	791
103	847	782
104	854	773
105	862	764
106	870	756
107	877	747
108	885	738
109	893	730
110	900	722
111	908	713
112	914	704
113	923	696
114	933	689
115	941	682
116	953	676
117	961	668
118	969	659
119	976	651
120	985	643
121	994	635
122	1002	627
123	1011	620
124	1020	612
125	1028	604
126	1045	600
127	1056	594
128	1066	587
129	1076	579
130	1085	571
131	1094	563
132	1103	555
133	1112	548
134	1120	539
135	1128	530
136	1135	522
137	1142	513
138	1152	505
139	1160	497
140	1168	489
141	1177	481
142	1188	473
143	1202	467
144	1211	459
145	1220	451
146	1232	444
147	1242	436
148	1253	429
149	1262	420
150	1270	412
151	1279	403
152	1287	395
153	1295	387
154	1305	378
155	1315	371
156	1324	362
157	1335	355
158	1344	346
159	1351	337
160	1359	329
161	1366	320
162	1374	312
163	1381	303
164	1389	294
165	1396	286
166	1403	277
167	1410	268
168	1417	260
169	1426	251
170	1434	243
171	1441	234
172	1450	226
173	1457	217
174	1464	209
175	1471	200
176	1478	192
177	1486	183
178	1493	175
179	1500	166
180	1509	158
181	1517	150
182	1524	141
183	1533	133
184	1539	124
185	1547	116
186	1555	108
187	1562	99
188	1569	91
189	1580	83
190	1588	74
191	1595	66
192	1603	58
193	1611	49
194	1619	41
195	1626	33
196	1634	24
197	1642	16
198	1649	8
199	1656	0
