Model,Accuracy,Precision_CKD,Recall_CKD,F1_CKD,ROC_AUC,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
CatBoost_ClassWeighted,0.7,0.5357142857142857,0.8823529411764706,0.6666666666666666,0.872994652406417,0.764927536231884,0.6465596432552955,0.6916666666666667,0.6677875916323976,0.7900885668276972
LogReg_ClassWeighted,0.6,0.45714285714285713,0.9411764705882353,0.6153846153846154,0.7990196078431373,0.6677018633540374,0.5227777777777778,0.6833333333333333,0.589205016716233,0.7107447665056361
XGB_Baseline,0.77,0.627906976744186,0.7941176470588235,0.7012987012987013,0.8578431372549019,0.7363561076604556,0.6388471177944862,0.5333333333333333,0.5808047249907714,0.7596497584541062
XGB_ClassWeighted,0.77,0.6222222222222222,0.8235294117647058,0.7088607594936709,0.8636363636363636,0.7163975155279502,0.6009599096555618,0.525,0.5594249886201782,0.7408977455716588
CatBoost_Baseline,0.75,0.5957446808510638,0.8235294117647058,0.691358024691358,0.8614081996434938,0.7364389233954451,0.6495521892967713,0.4916666666666667,0.5584099073548876,0.7846698872785829
SVM_ClassWeighted,0.66,0.5,0.8529411764705882,0.6304347826086957,0.7905525846702317,0.6791304347826087,0.5312974465148378,0.5916666666666666,0.5544291475455431,0.7154508856682769
RF_Baseline,0.67,0.5081967213114754,0.9117647058823529,0.6526315789473685,0.8678698752228164,0.724968944099379,0.6368670545141133,0.4333333333333334,0.5139476905844044,0.7843015297906601
LogReg_Baseline,0.65,0.49056603773584906,0.7647058823529411,0.5977011494252874,0.7598039215686274,0.6534989648033126,0.5074031231925968,0.45,0.4753178294573644,0.6900684380032207
RF_ClassWeighted,0.68,0.5178571428571429,0.8529411764705882,0.6444444444444445,0.8776737967914439,0.7134575569358177,0.6251754385964913,0.38333333333333336,0.4701509464847359,0.7896014492753622
SVM_Baseline,0.62,0.46551724137931033,0.7941176470588235,0.5869565217391305,0.767825311942959,0.6676604554865425,0.5590109890109891,0.24166666666666664,0.3342034634254748,0.7077576489533011
